MATÉRIA,TURMA,PROFESSOR,CH,CURSO,TURNO
Fundamentos de Programação,a,11,4,SIN,N
Projeto Integrado,a,6,2,SIN,N
Fundamentos de Sistemas de Informação,a,10,4,SIN,N
Programação Web,b,15,4,SIN,N
Engenharia de Software II,b,8,4,SIN,N
Algoritmos e Programação II,b,14,4,SIN,N
Organização e Arquitetura de Computadores,b,11,4,SIN,N
Sistemas Inteligentes,c,7,4,SIN,N
Redes de Computadores,c,4,4,SIN,N
Linguagens Formais e Autônomas,c,5,4,SIN,N
Banco de Dados II,c,18,4,SIN,N
Governança de TI,d,8,4,SIN,N
Interação Humano Computador,d,6,4,SIN,N
Desenvolvimento de Aplicações em SI,d,10,5,SIN,N
Inteligência de Negócios,d,8,4,SIN,N
Auditoria e Segurança de Sistemas de Informação,d,4,3,SIN,N
Organização e Métodos,d,2,3,SIN,N
