Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Matemática Discreta.1,,Matemática Discreta.2,,
08h50-09h45,Matemática Discreta.1,,Matemática Discreta.2,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,,Arquitetura de Computadores I.2,,Fundamentos de Programação.1
14h25-15h20,,,Arquitetura de Computadores I.2,,Fundamentos de Programação.1
15h45-16h40,,Fundamentos de Programação.2,Projeto Integrado,Arquitetura de Computadores I.1,
16h40-17h35,,Fundamentos de Programação.2,Projeto Integrado,Arquitetura de Computadores I.1,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
