Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Fundamentos de Programação (EBP/ECT).2,,Fundamentos de Programação (EME).2,Fundamentos de Programação (EMT).1,Fundamentos de Programação (EME).1
08h50-09h45,Fundamentos de Programação (EBP/ECT).2,,Fundamentos de Programação (EME).2,Fundamentos de Programação (EMT).1,Fundamentos de Programação (EME).1
10h10-11h05,Fundamentos de Programação (EMA/EEN).1,,,,Fundamentos de Programação (EBP/ECT).1
11h05-12h00,Fundamentos de Programação (EMA/EEN).1,,,,Fundamentos de Programação (EBP/ECT).1
13h30-14h25,,,Fundamentos de Programação (MBA).2,Fundamentos de Programação (MBA).1,
14h25-15h20,,,Fundamentos de Programação (MBA).2,Fundamentos de Programação (MBA).1,
15h45-16h40,,Fundamentos de Programação (EMA/EEN).2,,Fundamentos de Programação (EMT).2,
16h40-17h35,,Fundamentos de Programação (EMA/EEN).2,,Fundamentos de Programação (EMT).2,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
