Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,,,,,
08h50-09h45,,,,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,,,,
14h25-15h20,,,,,
15h45-16h40,,,,,
16h40-17h35,,,,,
17h35-18h30,,,,,
19h00-19h50,Organização e Arquitetura de Computadores.2,Organização e Arquitetura de Computadores.1,Engenharia de Software II.1,Programação Web.2,Algoritmos e Programação II.2
19h50-20h40,Organização e Arquitetura de Computadores.2,Organização e Arquitetura de Computadores.1,Engenharia de Software II.1,Programação Web.2,Algoritmos e Programação II.2
21h00-21h50,Programação Web.1,,,Engenharia de Software II.2,Algoritmos e Programação II.1
21h50-22h40,Programação Web.1,,,Engenharia de Software II.2,Algoritmos e Programação II.1
22h40-23h30,,,,,
