Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Gerência de Projeto de Software.2,Desenvolvimento de Sistemas Web.1,Interação Humano Computador.2,Desenvolvimento de Sistemas Web.2,
08h50-09h45,Gerência de Projeto de Software.2,Desenvolvimento de Sistemas Web.1,Interação Humano Computador.2,Desenvolvimento de Sistemas Web.2,
10h10-11h05,,,Interação Humano Computador.1,Desenvolvimento de Sistemas Web.2,
11h05-12h00,,,Interação Humano Computador.1,,
13h30-14h25,,,Processamento Digital de Imagens.2,,Sistemas Distribuidos.1
14h25-15h20,,,Processamento Digital de Imagens.2,,Sistemas Distribuidos.1
15h45-16h40,,Sistemas Distribuidos.2,Gerência de Projeto de Software.1,Processamento Digital de Imagens.1,
16h40-17h35,,Sistemas Distribuidos.2,Gerência de Projeto de Software.1,Processamento Digital de Imagens.1,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
