Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,,,,,
08h50-09h45,,,,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,,,,
14h25-15h20,,,,,
15h45-16h40,,,,,
16h40-17h35,,,,,
17h35-18h30,,,,,
19h00-19h50,Desenvolvimento de Aplicações em SI.1,Inteligência de Negócios.2,Governança de TI.2,Interação Humano Computador.2,Governança de TI.1
19h50-20h40,Desenvolvimento de Aplicações em SI.1,Inteligência de Negócios.2,Governança de TI.2,Interação Humano Computador.2,Governança de TI.1
21h00-21h50,Desenvolvimento de Aplicações em SI.2,Inteligência de Negócios.1,Auditoria e Segurança de Sistemas de Informação,Organização e Métodos,Interação Humano Computador.1
21h50-22h40,Desenvolvimento de Aplicações em SI.2,Inteligência de Negócios.1,Auditoria e Segurança de Sistemas de Informação,Organização e Métodos,Interação Humano Computador.1
22h40-23h30,Desenvolvimento de Aplicações em SI.2,,Auditoria e Segurança de Sistemas de Informação,Organização e Métodos,
