Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,,,,,
08h50-09h45,,,,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,,,,
14h25-15h20,,,,,
15h45-16h40,,,,,
16h40-17h35,,,,,
17h35-18h30,,,,,
19h00-19h50,,Fundamentos de Sistemas de Informação.2,Fundamentos de Sistemas de Informação.1,,Projeto Integrado
19h50-20h40,,Fundamentos de Sistemas de Informação.2,Fundamentos de Sistemas de Informação.1,,Projeto Integrado
21h00-21h50,,,Fundamentos de Programação.2,Fundamentos de Programação.1,
21h50-22h40,,,Fundamentos de Programação.2,Fundamentos de Programação.1,
22h40-23h30,,,,,
