Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,,,,,
08h50-09h45,,,,,
10h10-11h05,,,,,
11h05-12h00,,,,,
13h30-14h25,,,,,
14h25-15h20,,,,,
15h45-16h40,,,,,
16h40-17h35,,,,,
17h35-18h30,,,,,
19h00-19h50,Redes de Computadores.1,,Linguagens Formais e Autônomas.1,Banco de Dados II.2,Linguagens Formais e Autônomas.2
19h50-20h40,Redes de Computadores.1,,Linguagens Formais e Autônomas.1,Banco de Dados II.2,Linguagens Formais e Autônomas.2
21h00-21h50,,Banco de Dados II.1,Redes de Computadores.2,Sistemas Inteligentes.1,Sistemas Inteligentes.2
21h50-22h40,,Banco de Dados II.1,Redes de Computadores.2,Sistemas Inteligentes.1,Sistemas Inteligentes.2
22h40-23h30,,,,,
