Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Arquitetura de Computadores I.1,,,,
08h50-09h45,Arquitetura de Computadores I.1,,,,
10h10-11h05,Fundamentos de Programação.1,Arquitetura de Computadores I.2,,,
11h05-12h00,Fundamentos de Programação.1,Arquitetura de Computadores I.2,,,
13h30-14h25,Fundamentos de Programação.2,Matemática Discreta.1,,,
14h25-15h20,Fundamentos de Programação.2,Matemática Discreta.1,,,
15h45-16h40,Matemática Discreta.2,Projeto Integrado,,,
16h40-17h35,Matemática Discreta.2,Projeto Integrado,,,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
