Horários,Segunda,Terça,Quarta,Quinta,Sexta
07h00-07h55,,,,,
07h55-08h50,Processamento Digital de Imagens.1,Desenvolvimento de Sistemas Web.2,Interação Humano Computador.1,,
08h50-09h45,Processamento Digital de Imagens.1,Desenvolvimento de Sistemas Web.2,Interação Humano Computador.1,,
10h10-11h05,Sistemas Distribuidos.1,Desenvolvimento de Sistemas Web.2,Desenvolvimento de Sistemas Web.1,,
11h05-12h00,Sistemas Distribuidos.1,Processamento Digital de Imagens.2,Desenvolvimento de Sistemas Web.1,,
13h30-14h25,Sistemas Distribuidos.2,Gerência de Projeto de Software.2,,,
14h25-15h20,Sistemas Distribuidos.2,Gerência de Projeto de Software.2,,,
15h45-16h40,Interação Humano Computador.2,Gerência de Projeto de Software.1,,,
16h40-17h35,Interação Humano Computador.2,Gerência de Projeto de Software.1,,,
17h35-18h30,,,,,
19h00-19h50,,,,,
19h50-20h40,,,,,
21h00-21h50,,,,,
21h50-22h40,,,,,
22h40-23h30,,,,,
