MATÉRIAS,CORES,CARGA HORÁRIA,SUGESTÃO
Cálculo A.1,16,2,2M23
Cálculo A.2,17,2,2M45
Matemática Discreta.1,4,2,2T34
Matemática Discreta.2,5,2,2T12
Fundamentos de Programação.1,4,2,2T34
Fundamentos de Programação.2,5,2,2T12
Arquitetura de Computadores I.1,7,2,2N34
Arquitetura de Computadores I.2,13,2,2N12
Projeto Integrado.1,10,2,3M23
Projeto Integrado.2,11,2,3M45
Aspectos Humanos em Computação.1,13,2,2N12
Aspectos Humanos em Computação.2,14,2,3T12
Modelagem Computacional.1,17,2,2M45
Modelagem Computacional.2,18,2,3T34
Cálculo B.1,17,2,2M45
Cálculo B.2,18,2,3T34
Programação Lógica e Funcional,20,2,3N12
Algoritmos e Estruturas de Dados I,15,2,3N34
Arquitetura de Computadores II,1,2,4M23
Métodos Matemáticos para Análise de Dados.1,9,2,4M45
Métodos Matemáticos para Análise de Dados.2,10,2,3M23
Programação Orientada a Objetos.1,4,2,2T34
Programação Orientada a Objetos.2,5,2,2T12
Engenharia de Software I.1,6,2,4T12
Engenharia de Software I.2,7,2,2N34
Algoritmos em Grafos.1,10,2,3M23
Algoritmos em Grafos.2,11,2,3M45
Algoritmos e Estruturas de Dados II,5,2,2T12
Sistemas Operacionais,9,2,4M45
Cálculo Numérico para Computação.1,18,2,3T34
Cálculo Numérico para Computação.2,19,2,4T34
Programação Web,6,2,4T12
Projeto e Análise de Algoritmos.1,0,2,4N12
Projeto e Análise de Algoritmos.2,6,2,4T12
Sistemas Embarcados.1,0,2,4N12
Sistemas Embarcados.2,1,2,4M23
Redes de Computadores.1,0,2,4N12
Redes de Computadores.2,1,2,4M23
Inteligência Artificial,0,2,4N12
Introdução à Computação Visual,1,2,4M23
Análise e Projeto Orientados a Objetos.1,12,2,4N34
Análise e Projeto Orientados a Objetos.2,13,2,2N12
Teoria da Computação,8,2,5M23
Banco de Dados I,13,2,2N12
Interação Humano-Computador,2,2,5M45
Compiladores.1,2,2,5M45
Compiladores.2,3,2,5T12
Computação e Sociedade.1,2,2,5M45
Computação e Sociedade.2,3,2,5T12
Metodologia Cientifica.1,2,2,5M45
Metodologia Cientifica.2,3,2,5T12
Introdução à Administração.1,3,2,5T12
Introdução à Administração.2,4,3,2T345
Gestão e Governança de TI.1,6,2,4T12
Gestão e Governança de TI.2,7,3,2N345
Empreendedorismo e Inovação,9,2,4M45
Economia da Informação.1,14,2,3T12
Economia da Informação.2,16,2,2M23
Comportamento Organizacional I,8,2,5M23
Empreendedorismo Tecnológico.1,18,2,3T34
Empreendedorismo Tecnológico.2,19,2,4T34
Tópicos em ADG.1,10,2,3M23
Tópicos em ADG.2,11,2,3M45
Modelagem Geométrica e Visual.1,7,2,2N34
Modelagem Geométrica e Visual.2,8,2,5M23
Metaheurísticas.1,14,2,3T12
Metaheurísticas.2,15,2,3N34
Métodos Exatos.1,14,2,3T12
Métodos Exatos.2,15,3,3N345
Tópicos em MCO.1,16,2,2M23
Tópicos em MCO.2,17,2,2M45
Arquitetura de Software.1,19,2,4T34
Arquitetura de Software.2,20,2,3N12
Tópicos em DES II.1,19,2,4T34
Tópicos em DES II.2,20,2,3N12
Engenharia de Software II.1,21,2,5T34
Engenharia de Software II.2,22,2,5N12
Padrões de Projeto.1,20,2,3N12
Padrões de Projeto.2,21,2,5T34
Reutilização de Software.1,9,2,4M45
Reutilização de Software.2,12,2,4N34
Desenvolvimento de Sistemas Web.1,11,2,3M45
Desenvolvimento de Sistemas Web.2,12,3,4N345
Banco de Dados II,8,2,5M23
Bancos de Dados NoSQL,12,2,4N34
Tópicos em PAD,15,2,3N34
